CD,Year,Target_Presidential_D,Target_Presidential_R,Previous_Presidential_D,Previous_Presidential_R
VA-08,2016,73.5,20.9,67.8,31
VA-09,2016,27.3,68.8,34.9,63.1
VA-10,2016,52.2,42.2,48.8,49.9
VA-11,2016,66.9,27.5,62.5,36.3
VT-AL,2016,56.7,30.3,67,31.2
WA-01,2016,54.1,37.8,54.1,43.3
WA-02,2016,56.9,34.8,59.2,38
WA-03,2016,42.5,49.9,47.9,49.6
WA-04,2016,35.1,57.9,37.9,59.7
WA-05,2016,39.1,52.2,43.7,53.5
WA-06,2016,51.8,39.5,56.1,41.2
WA-07,2016,82.1,12.2,79.2,18.1
WA-08,2016,47.7,44.7,49.7,48.1
WA-09,2016,70.5,23.3,68.3,29.6
WA-10,2016,51.3,39.9,56.3,41.1
WI-01,2016,42.3,52.6,47.4,51.6
WI-02,2016,65.8,29,68.3,30.5
WI-03,2016,44.8,49.3,54.8,43.8
WI-04,2016,74,21.8,75.3,23.8
WI-05,2016,37.3,57.4,37.7,61.3
WI-06,2016,38.8,55.7,45.8,53.1
WI-07,2016,37.3,57.7,47.8,50.9
WI-08,2016,38.6,56.2,47.6,51.3
WV-01,2016,26.4,68,35.5,62.2
WV-02,2016,29.4,65.8,38,60
WV-03,2016,23.3,72.5,32.8,65
WY-AL,2016,22.5,70.1,28,69.2
DC-98,2012,90.91,7.28,92.46,6.53
AK-AL,2012,41.2,55.3,38.1,59.7
AL-01,2012,37.4,61.8,38.5,60.9
AL-02,2012,36.4,62.9,35,64.5
AL-03,2012,36.8,62.3,36.6,62.6
AL-04,2012,24,74.8,25.5,73.3
AL-05,2012,34.9,63.9,36.3,62.6
AL-06,2012,24.7,74.3,25,74.1
AL-07,2012,72.4,27.1,71.5,28.1
AR-01,2012,36.3,61,39.2,58
AR-02,2012,42.9,54.7,44.3,53.8
AR-03,2012,31.6,65.5,33.9,63.7
AR-04,2012,35.9,61.8,37.4,59.9
AZ-01,2012,47.9,50.4,47.8,51
AZ-02,2012,48.4,49.9,48.9,49.8
AZ-03,2012,61.4,36.9,58.2,40.7
AZ-04,2012,31,67.2,34.4,64.2
AZ-05,2012,34.6,63.8,36.3,62.6
AZ-06,2012,38.8,59.5,41.2,57.7
AZ-07,2012,71.7,26.5,64.7,34.1
AZ-08,2012,36.9,61.7,38.4,60.6
AZ-09,2012,51.1,46.6,51.3,47.4
CA-01,2012,40.3,56.6,42,53
CA-02,2012,69,27,71,25
CA-03,2012,54.3,43.1,55,42
CA-04,2012,39.5,57.9,43,54
CA-05,2012,69.7,27.5,70,26
CA-06,2012,69.1,28.3,68,29
CA-07,2012,50.8,46.8,51,46
CA-08,2012,41.7,55.6,42,55
CA-09,2012,57.8,40.1,56,41
CA-10,2012,50.6,47,50,47
CA-11,2012,67.6,30,69,28
CA-12,2012,84.1,12.5,84,13
CA-13,2012,87.5,9,87,10
CA-14,2012,74.2,23.6,73,24
CA-15,2012,68,29.8,67,30
CA-16,2012,58.6,39.4,57,40
CA-17,2012,71.9,25.5,69,28
CA-18,2012,68.2,28.9,70,27
CA-19,2012,71.2,26.5,68,29
CA-20,2012,70.9,26.2,71,26
