,B01001_002E,B01001_026E,B01002_001E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B03002_012E,B05001_002E,B05001_006E,B05012_003E,B06009_002E,B06009_005E,B06011_001E,B09001_001E,B11001_003E,B15012_009E,B15012_010E,B17001_002E,B19001_017E,B19013_001E,B19083_001E,B21001_002E,B23013_001E,B24050_001E,B24050_002E,B24050_005E,B24050_006E,B24050_008E,B24050_009E,B24050_012E,B24050_013E,B24050_021E,B24050_022E,B24050_025E,B24050_027E,B25031_001E,B28007_002E,B28007_003E,B28007_009E,C03001_004E,C03001_005E,C03001_006E,C03001_007E,District_Name,CD,State_Id,State,CD_Id,Incumbent_Rep_Party,Clinton_2016,Trump_2016,Obama_2012,Romney_2012,Obama_2008,McCain_2008,State_AB
188,365833,375329,32.3,741162,622206,31393,5020,10612,589009,547168,94102,173997,91406,77778,22278,204420,118806,10304,28983,134274,3962,45316,0.4398,49945,37.9,307397,3382,13986,19945,37103,20913,5200,17685,36765,38263,26982,25535,760,326890,306695,20195,556760,8746,332,625,"Congressional District 16 (114th Congress), Texas",16,48,TX,TX-16,D,67.9,27.2,64.2,34.5,64.0,35.0,TX
189,371868,378272,32.5,750140,565093,99567,3416,37839,186295,649923,66166,91837,62441,91284,25082,173009,126823,11448,26249,129445,10395,51024,0.4693,42418,36.1,357797,11389,24405,30823,42311,16370,6135,21730,51590,38402,27122,19261,921,370952,354377,16575,159404,3826,1506,1327,"Congressional District 17 (114th Congress), Texas",17,48,TX,TX-17,R,38.8,56.3,37.7,60.4,41.0,58.0,TX
190,377475,387147,32.3,764622,381474,278538,2727,29771,326443,589123,118901,168210,119923,65329,23839,201288,93806,8183,26733,175824,8462,43100,0.4883,25784,37.8,352050,9836,36123,32834,40264,29646,5932,18186,25917,36992,25792,9171,881,374451,348273,26178,251216,4384,3848,723,"Congressional District 18 (114th Congress), Texas",18,48,TX,TX-18,D,76.5,20.0,76.1,22.8,77.0,23.0,TX
191,367913,357604,32.7,725517,600553,43313,7403,9487,264606,663633,35495,53800,78403,59262,23128,182181,116825,8099,18565,118173,7676,47305,0.4590,39269,35.9,321858,24149,23382,19440,40704,17859,5085,17235,37742,47403,26034,13316,793,332580,318553,14027,242872,1956,685,461,"Congressional District 19 (114th Congress), Texas",19,48,TX,TX-19,R,23.5,72.5,25.0,73.6,28.0,71.0,TX
192,377211,397310,31.6,774521,639628,46589,8547,23031,525191,649991,67865,109328,91247,74606,24270,206299,108658,14970,24249,135966,5742,49404,0.4520,56288,36.9,349049,4105,28379,21364,41531,12906,6167,33511,34370,48311,38466,15637,890,369092,346475,22617,473470,10141,2108,261,"Congressional District 20 (114th Congress), Texas",20,48,TX,TX-20,D,61.0,34.3,58.9,39.7,58.0,41.0,TX
193,383384,387985,38.1,771369,660352,31532,2512,28798,219618,680572,43621,75768,41080,155347,32384,152894,144676,20947,52380,67384,25244,65254,0.4697,65541,38.9,389033,7406,22790,21702,43420,15122,10315,31052,37634,45003,33694,23007,1098,404179,386677,17502,185865,5809,1734,531,"Congressional District 21 (114th Congress), Texas",21,48,TX,TX-21,R,42.5,52.5,37.9,59.8,42.0,56.0,TX
194,420152,441418,35.3,861570,521647,119408,3562,155780,215021,628875,96559,221800,51235,150759,41097,240228,173468,26477,63862,57800,42329,95048,0.4230,35150,40.6,422996,22862,24152,43273,47932,21352,6033,28771,40933,62255,19802,13077,1229,438827,422793,16034,170001,3902,2479,1373,"Congressional District 22 (114th Congress), Texas",22,48,TX,TX-22,R,44.2,52.1,36.7,62.1,39.0,60.0,TX
195,375978,371754,33.1,747732,633568,23581,5010,11285,521424,605253,78258,125544,111026,62725,23116,211327,125001,11426,22372,126762,12046,53917,0.4805,45744,38.9,302764,19643,25668,18541,33780,21598,3959,21516,27230,38214,22499,20196,822,325424,302384,23040,490191,5072,754,65,"Congressional District 23 (114th Congress), Texas",23,48,TX,TX-23,R,49.8,46.4,48.1,50.7,50.0,49.0,TX
196,380646,399322,35.6,779968,514185,81222,3756,105649,191979,584053,111922,183200,51277,149060,36880,188249,141691,20121,69454,69617,30786,68161,0.4775,35654,39.9,434492,4618,23186,34478,47265,33460,14265,47322,28096,43648,34350,8931,1054,449411,434129,15282,137039,8432,2728,604,"Congressional District 24 (114th Congress), Texas",24,48,TX,TX-24,R,44.5,50.7,38.0,60.4,41.0,58.0,TX
197,372928,389106,36.9,762034,641246,54062,3128,20204,134116,688690,30878,58342,49995,121090,31713,182395,151443,15682,38356,80686,25150,65706,0.4915,56535,40.6,347478,9489,25214,30312,37682,14591,7518,22316,38048,38460,21622,22008,1026,359112,343443,15669,110339,6790,1835,0,"Congressional District 25 (114th Congress), Texas",25,48,TX,TX-25,R,40.2,55.1,37.8,59.9,43.0,56.0,TX
198,404599,413526,34.5,818125,642089,67318,3072,52903,144687,704767,57089,101565,38938,145858,35804,224089,166493,16341,65447,57620,24738,79738,0.4209,43971,39.8,428261,4887,22336,34385,52419,26459,12418,38366,44599,38965,33738,14786,1134,445355,426173,19182,111268,5347,1144,230,"Congressional District 26 (114th Congress), Texas",26,48,TX,TX-26,R,34.4,60.9,30.7,67.6,35.0,64.0,TX
199,361465,373248,35.9,734713,624315,37044,3378,11867,385429,662279,45126,65694,90414,62086,24534,186126,130108,8990,19652,123924,9390,50764,0.4646,52123,39.3,328831,16831,32366,30071,40904,16674,3579,16241,28155,43509,29744,17552,877,349317,327593,21724,355663,3695,1440,211,"Congressional District 27 (114th Congress), Texas",27,48,TX,TX-27,R,36.5,60.1,38.2,60.5,40.0,59.0,TX
200,355013,369954,31.9,724967,646435,28284,1667,8244,566908,548137,111410,160881,123423,52409,20993,225925,111030,7505,19844,183885,7260,45054,0.4748,35993,39.2,288375,12528,24552,10789,35516,25287,3256,14770,30369,41245,21811,17670,805,313541,287716,25825,534128,8724,212,752,"Congressional District 28 (114th Congress), Texas",28,48,TX,TX-28,D,58.3,38.5,60.3,38.7,58.0,41.0,TX
201,383153,375618,29.5,758771,586456,83124,3078,12126,586477,498128,189159,251792,170063,30015,22419,239164,102632,3953,10399,192699,2157,40871,0.4246,18366,36.7,331514,4297,61609,38566,39227,27895,2935,12061,18954,29118,28328,6321,816,352196,331339,20857,510600,3417,1849,1004,"Congressional District 29 (114th Congress), Texas",29,48,TX,TX-29,D,71.1,25.4,65.9,33.0,62.0,37.0,TX
