Total_Pop,Total_Males,Total_Females,Median_Age,Total_Veterans,Total_White_People,Total_Afr_Am_People,Total_Asian,Total_American_Ind_Alk_Ntv,Total_Cuban_Origin,Total_Puerto_Rican_Origin,Total_Dominican_Origin,Total_Mexican_Origin,Total_Native_US,Total_Non_Citizens,Total_Foreign_Born,Total_Children,Total_Married_Households,Total_Less_Highschool,Total_Bachelor_Holders,Total_STEM,Total_Business_Degree,Total_Labor_Force_Eligible,Total_Employed,Total_Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Total_Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Total_Workers,Total_Working_Agricult,Total_Working_Construction,Total_Working_Manufacturing,Total_Working_Retail,Total_Working_Transportation,Total_Working_Finance,Total_Working_Education,Total_Working_Health,Total_Working_Food,Total_Working_Public_Admin,Total_Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State,CD_Id_Year,Previous_Presidential_D,Previous_Presidential_R,Target_Presidential_D,Target_Presidential_R
818125,404599,413526,34.5,43971,642089,67318,52903,3072,1144,5347,230,111268,704767,57089,101565,224089,166493,38938,145858,16341,65447,445355,426173,19182,79738,35804,57620,24738,0.4209,39.8,428261,4887,22336,34385,52419,26459,38366,44599,38965,33738,14786,12418,1134,"Congressional District 26 (114th Congress), Texas",48,26,TX,TX-26-2016,30.7,67.6,34.4,60.9
734713,361465,373248,35.9,52123,624315,37044,11867,3378,1440,3695,211,355663,662279,45126,65694,186126,130108,90414,62086,8990,19652,349317,327593,21724,50764,24534,123924,9390,0.4646,39.3,328831,16831,32366,30071,40904,16674,16241,28155,43509,29744,17552,3579,877,"Congressional District 27 (114th Congress), Texas",48,27,TX,TX-27-2016,38.2,60.5,36.5,60.1
724967,355013,369954,31.9,35993,646435,28284,8244,1667,212,8724,752,534128,548137,111410,160881,225925,111030,123423,52409,7505,19844,313541,287716,25825,45054,20993,183885,7260,0.4748,39.2,288375,12528,24552,10789,35516,25287,14770,30369,41245,21811,17670,3256,805,"Congressional District 28 (114th Congress), Texas",48,28,TX,TX-28-2016,60.3,38.7,58.3,38.5
758771,383153,375618,29.5,18366,586456,83124,12126,3078,1849,3417,1004,510600,498128,189159,251792,239164,102632,170063,30015,3953,10399,352196,331339,20857,40871,22419,192699,2157,0.4246,36.7,331514,4297,61609,38566,39227,27895,12061,18954,29118,28328,6321,2935,816,"Congressional District 29 (114th Congress), Texas",48,29,TX,TX-29-2016,65.9,33.0,71.1,25.4
754382,364242,390140,32.8,29272,365572,329176,11854,3203,1012,3398,332,265611,610438,96498,136491,210518,97179,114485,63110,9321,25699,357646,334814,22832,42439,23893,177452,5815,0.4786,38.2,336394,2099,34391,29095,37627,27118,25790,26123,39545,26483,11404,4866,913,"Congressional District 30 (114th Congress), Texas",48,30,TX,TX-30-2016,79.6,19.6,79.1,18.3
804974,398015,406959,34.2,71974,612747,92093,38512,2925,1625,13920,1418,155500,695242,42957,85360,216875,152536,40774,119647,15672,41495,393960,370756,23204,65377,31358,85568,13793,0.4316,38.4,373095,4315,23504,36030,42223,14303,25685,35164,50341,23885,24000,8174,995,"Congressional District 31 (114th Congress), Texas",48,31,TX,TX-31-2016,38.3,59.6,40.8,53.5
748526,368008,380518,35.4,32149,517165,102985,58002,2639,1820,2818,691,161115,586128,96173,154831,179341,135524,65609,136704,16403,59514,412448,395185,17263,66375,33360,95128,29596,0.5246,38.8,396159,4582,26756,32617,45575,16381,38652,34008,44408,28679,7050,13911,1084,"Congressional District 32 (114th Congress), Texas",48,32,TX,TX-32-2016,41.5,57.0,48.5,46.6
740323,377805,362518,30.0,17788,503652,121258,14588,2178,1187,2586,575,433599,484786,194407,248018,233243,94770,182033,33244,4011,12013,344488,323112,21376,39246,21580,181573,2776,0.4213,37.3,323813,3704,56262,39900,32245,20590,14958,17766,25541,36000,6081,3253,819,"Congressional District 33 (114th Congress), Texas",48,33,TX,TX-33-2016,72.0,27.1,72.9,23.7
730907,357146,373761,32.2,27486,674766,10181,4473,1967,689,1600,162,583260,584180,95429,140042,219693,113369,143436,45094,7261,11264,283960,260504,23456,35642,17943,209455,4727,0.4997,38.6,261555,15683,19712,13886,34761,13320,10678,32018,43736,18254,13746,3378,650,"Congressional District 34 (114th Congress), Texas",48,34,TX,TX-34-2016,60.8,38.3,59.2,37.7
823909,417801,406108,31.4,44003,627734,72409,15122,5578,3366,13031,696,454403,665168,107737,143510,212478,104106,118174,67728,7929,20107,411255,389537,21718,43831,22427,167628,3122,0.4284,35.5,393642,3973,43777,21130,50297,18419,20801,29455,43890,47213,19502,8804,952,"Congressional District 35 (114th Congress), Texas",48,35,TX,TX-35-2016,63.0,34.6,64.1,30.5
731274,368418,362856,36.9,45573,601057,70454,14982,3600,357,2659,52,149654,649576,49563,72939,180267,137021,77303,60335,10142,15446,343853,318148,25705,56885,29648,94899,12783,0.4522,40.5,318524,12050,35602,47288,32773,20601,13467,32467,31927,21192,13939,1831,862,"Congressional District 36 (114th Congress), Texas",48,36,TX,TX-36-2016,25.7,73.2,25.2,72.0
