CD,Year,Target_Presidential_R,Target_Presidential_D,Previous_Presidential_D,Previous_Presidential_R
PA-03,2016,7.0,90.9,91.7,7.6
PA-04,2016,38.5,57.8,56.1,42.8
PA-05,2016,34.4,62.6,63.4,35.7
PA-06,2016,43.3,52.6,51.0,47.8
PA-07,2016,47.6,48.7,52.9,45.9
PA-08,2016,53.3,43.7,55.3,43.4
PA-09,2016,65.0,31.0,41.2,57.2
PA-10,2016,52.3,43.4,46.0,52.6
PA-11,2016,60.5,34.7,38.0,60.5
PA-12,2016,66.1,29.7,36.8,61.5
PA-13,2016,71.2,25.5,32.1,66.6
PA-14,2016,62.9,33.9,40.6,58.3
PA-15,2016,69.8,26.5,35.7,62.6
PA-16,2016,57.9,37.9,46.9,51.7
PA-17,2016,49.4,46.8,47.2,51.7
PA-18,2016,34.6,62.1,63.5,35.2
RI-01,2016,34.9,60.5,66.2,32.2
RI-02,2016,44.0,51.1,59.8,38.3
SC-01,2016,53.5,40.4,40.2,58.3
SC-02,2016,56.3,38.6,39.4,59.1
SC-03,2016,67.0,29.0,33.9,64.5
SC-04,2016,60.2,34.5,36.2,62.2
SC-05,2016,57.3,38.8,43.6,55.1
SC-06,2016,30.3,66.8,70.9,28.1
SC-07,2016,58.0,39.1,44.4,54.5
SD-AL,2016,61.5,31.7,39.9,57.9
TN-01,2016,76.7,19.7,25.7,72.7
TN-02,2016,65.1,29.7,30.9,67.3
TN-03,2016,65.4,30.2,35.1,63.3
TN-04,2016,68.6,27.4,33.1,65.3
TN-05,2016,38.2,56.5,55.9,42.5
TN-06,2016,72.6,23.7,29.5,69.1
TN-07,2016,67.5,28.2,32.9,65.7
TN-08,2016,66.3,30.7,32.9,66.1
TN-09,2016,19.8,77.5,78.4,20.9
TX-01,2016,72.2,25.3,27.5,71.6
TX-02,2016,52.4,43.1,35.6,62.9
TX-03,2016,54.8,40.6,34.2,64.3
TX-04,2016,75.4,21.8,24.8,74.0
TX-05,2016,62.7,34.3,34.4,64.5
TX-06,2016,54.2,41.9,40.8,57.9
TX-07,2016,47.1,48.5,38.6,59.9
TX-08,2016,72.7,23.9,21.7,77.0
TX-09,2016,18.0,79.3,78.0,21.1
TX-10,2016,52.3,43.2,38.8,59.1
TX-11,2016,77.8,19.1,19.6,79.2
TX-12,2016,62.9,32.7,31.7,66.8
TX-13,2016,79.9,16.9,18.5,80.2
TX-14,2016,58.2,38.4,39.5,59.3
TX-15,2016,40.0,56.7,57.4,41.5
TX-16,2016,27.2,67.9,64.2,34.5
TX-17,2016,56.3,38.8,37.7,60.4
TX-18,2016,20.0,76.5,76.1,22.8
TX-19,2016,72.5,23.5,25.0,73.6
TX-20,2016,34.3,61.0,58.9,39.7
TX-21,2016,52.5,42.5,37.9,59.8
TX-22,2016,52.1,44.2,36.7,62.1
TX-23,2016,46.4,49.8,48.1,50.7
TX-24,2016,50.7,44.5,38.0,60.4
TX-25,2016,55.1,40.2,37.8,59.9
TX-26,2016,60.9,34.4,30.7,67.6
TX-27,2016,60.1,36.5,38.2,60.5
TX-28,2016,38.5,58.3,60.3,38.7
TX-29,2016,25.4,71.1,65.9,33.0
TX-30,2016,18.3,79.1,79.6,19.6
TX-31,2016,53.5,40.8,38.3,59.6
TX-32,2016,46.6,48.5,41.5,57.0
TX-33,2016,23.7,72.9,72.0,27.1
TX-34,2016,37.7,59.2,60.8,38.3
TX-35,2016,30.5,64.1,63.0,34.6
TX-36,2016,72.0,25.2,25.7,73.2
UT-01,2016,49.7,22.4,20.4,77.4
UT-02,2016,46.0,32.0,29.2,68.0
UT-03,2016,47.2,23.3,19.5,78.3
UT-04,2016,39.1,32.4,30.2,67.2
VA-01,2016,53.6,41.2,43.4,55.3
VA-02,2016,48.8,45.4,48.2,50.5
VA-03,2016,31.9,63.6,67.6,31.3
VA-04,2016,37.1,58.7,60.3,38.5
VA-05,2016,53.4,42.3,45.9,52.5
VA-06,2016,59.7,34.9,39.5,58.8
VA-07,2016,50.5,44.0,44.1,54.6
VA-08,2016,20.9,73.5,67.8,31.0
VA-09,2016,68.8,27.3,34.9,63.1
VA-10,2016,42.2,52.2,48.8,49.9
VA-11,2016,27.5,66.9,62.5,36.3
VT-AL,2016,30.3,56.7,67.0,31.2
WA-01,2016,37.8,54.1,54.1,43.3
WA-02,2016,34.8,56.9,59.2,38.0
WA-03,2016,49.9,42.5,47.9,49.6
WA-04,2016,57.9,35.1,37.9,59.7
WA-05,2016,52.2,39.1,43.7,53.5
WA-06,2016,39.5,51.8,56.1,41.2
WA-07,2016,12.2,82.1,79.2,18.1
WA-08,2016,44.7,47.7,49.7,48.1
WA-09,2016,23.3,70.5,68.3,29.6
WA-10,2016,39.9,51.3,56.3,41.1
WI-01,2016,52.6,42.3,47.4,51.6
